total_params,log_total_params,model_size_mb,log_model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
134794,11.811510384784288,0.5141983032226562,0.4148861261096723,4.0,3,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0601768493652343,2.8808908462524414,cpu,MNIST
134794,11.811510384784288,0.5141983032226562,0.4148861261096723,4.0,3,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.8667230606079102,6.355499982833862,mps,MNIST
335114,12.722229035480966,1.2783584594726562,0.8234552097451585,4.0,3,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1067876815795898,3.3574979305267334,cpu,MNIST
335114,12.722229035480966,1.2783584594726562,0.8234552097451585,4.0,3,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.6317377090454102,5.154468059539795,mps,MNIST
167690,12.02987827910819,0.6396865844726562,0.4945051165439638,4.0,3,0.0,256.0,5.54907608489522,128.0,170.66666666666666,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0674009323120117,2.9009130001068115,cpu,MNIST
167690,12.02987827910819,0.6396865844726562,0.4945051165439638,4.0,3,0.0,256.0,5.54907608489522,128.0,170.66666666666666,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.8152961730957031,5.057845115661621,mps,MNIST
67466,11.119393868426595,0.25736236572265625,0.22901616628402077,4.0,3,0.0,128.0,4.859812404361672,64.0,85.33333333333333,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.045323371887207,2.8436107635498047,cpu,MNIST
67466,11.119393868426595,0.25736236572265625,0.22901616628402077,4.0,3,0.0,128.0,4.859812404361672,64.0,85.33333333333333,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.635981559753418,6.100062847137451,mps,MNIST
466442,13.05289110530898,1.7793350219726562,1.022211698360228,4.0,3,0.0,512.0,6.240275845170769,256.0,341.3333333333333,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1272201538085937,3.729381799697876,cpu,MNIST
466442,13.05289110530898,1.7793350219726562,1.022211698360228,4.0,3,0.0,512.0,6.240275845170769,256.0,341.3333333333333,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.6751298904418945,5.580519914627075,mps,MNIST
25450,10.144510313937575,0.09708404541015625,0.09265579222362995,2.0,1,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0256061553955078,2.6108460426330566,cpu,MNIST
25450,10.144510313937575,0.09708404541015625,0.09265579222362995,2.0,1,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4146099090576172,4.714473247528076,mps,MNIST
26506,10.185164128035991,0.10111236572265625,0.09632091041006406,3.0,2,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0334978103637695,2.6423017978668213,cpu,MNIST
26506,10.185164128035991,0.10111236572265625,0.09632091041006406,3.0,2,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.4810571670532226,5.427645921707153,mps,MNIST
27562,10.224229572614233,0.10514068603515625,0.09997264454438276,4.0,3,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0396251678466796,2.683305025100708,cpu,MNIST
27562,10.224229572614233,0.10514068603515625,0.09997264454438276,4.0,3,0.0,32.0,3.4965075614664802,32.0,32.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.5687713623046875,5.39835000038147,mps,MNIST
814090,13.60982743234803,3.1055068969726562,1.412329218100177,2.0,1,0.0,1024.0,6.932447891572509,1024.0,1024.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.2066612243652343,3.912871837615967,cpu,MNIST
814090,13.60982743234803,3.1055068969726562,1.412329218100177,2.0,1,0.0,1024.0,6.932447891572509,1024.0,1024.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.6625652313232422,5.918576002120972,mps,MNIST
1863690,14.4380694879537,7.109413146972656,2.093025503853438,3.0,2,0.0,1024.0,6.932447891572509,1024.0,1024.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.5005121231079102,5.901448965072632,cpu,MNIST
1863690,14.4380694879537,7.109413146972656,2.093025503853438,3.0,2,0.0,1024.0,6.932447891572509,1024.0,1024.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,1.0643243789672852,7.820329189300537,mps,MNIST
63370,11.056761622530754,0.24173736572265625,0.21651150037949768,5.0,4,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0506877899169921,2.8066020011901855,cpu,MNIST
63370,11.056761622530754,0.24173736572265625,0.21651150037949768,5.0,4,0.0,64.0,4.174387269895637,64.0,64.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,1.0169029235839844,6.642834186553955,mps,MNIST
151306,11.927066164403513,0.5771865844726562,0.45564261707129716,5.0,4,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0715494155883789,2.9674649238586426,cpu,MNIST
151306,11.927066164403513,0.5771865844726562,0.45564261707129716,5.0,4,0.0,128.0,4.859812404361672,128.0,128.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.7218122482299805,5.8031840324401855,mps,MNIST
400906,12.901484759191558,1.5293350219726562,0.9279564310267294,5.0,4,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1222848892211914,3.577953100204468,cpu,MNIST
400906,12.901484759191558,1.5293350219726562,0.9279564310267294,5.0,4,0.0,256.0,5.54907608489522,256.0,256.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.914454460144043,6.1675591468811035,mps,MNIST
567434,13.248881484332847,2.1645889282226562,1.1520231666625664,4.0,3,0.0,512.0,6.240275845170769,128.0,298.6666666666667,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1522302627563476,4.347765922546387,cpu,MNIST
567434,13.248881484332847,2.1645889282226562,1.1520231666625664,4.0,3,0.0,512.0,6.240275845170769,128.0,298.6666666666667,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.786590576171875,5.9326090812683105,mps,MNIST
270218,12.506988020318774,1.0307998657226562,0.7084297379706825,4.0,3,0.0,512.0,6.240275845170769,128.0,298.6666666666667,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1024246215820312,3.2479982376098633,cpu,MNIST
270218,12.506988020318774,1.0307998657226562,0.7084297379706825,4.0,3,0.0,512.0,6.240275845170769,128.0,298.6666666666667,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.6379604339599609,6.024292945861816,mps,MNIST
932362,13.745477502816684,3.5566787719726562,1.5165940186785554,4.0,3,0.0,512.0,6.240275845170769,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.2132177352905273,4.517401933670044,cpu,MNIST
932362,13.745477502816684,3.5566787719726562,1.5165940186785554,4.0,3,0.0,512.0,6.240275845170769,512.0,512.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.8643388748168945,7.1587629318237305,mps,MNIST
