total_params,trainable_params,linear_params,flops,model_size_mb,num_layers,model_type,hidden_size,num_hidden_layers,conv_params,num_conv_layers,num_filters,has_batchnorm,has_pooling,kernel_size,num_fc_layers,device,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,batch_size,input_channels,input_height,input_width,num_classes,train_time_mean,train_time_std,infer_time_mean,infer_time_std
21706,21706,2890,4973184,0.0828,4,1,0,0,18816,3,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,14.7593,0.13683,1.05912,0.03053
21898,21898,2890,4973184,0.0835,7,1,0,0,18816,3,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,19.34774,0.05214,1.12063,0.02287
28394,28394,330,5133952,0.1083,5,1,0,0,28064,4,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,15.74057,0.15771,1.12409,0.05067
28650,28650,330,5133952,0.1093,9,1,0,0,28064,4,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,20.87339,0.16551,1.26807,0.04791
37642,37642,330,5152384,0.1436,6,1,0,0,37312,5,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,16.37233,0.07528,1.14965,0.04658
37962,37962,330,5152384,0.1448,11,1,0,0,37312,5,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,21.89673,0.09094,1.3069,0.03908
46890,46890,330,5170816,0.1789,7,1,0,0,46560,6,32,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,17.11791,0.09204,1.15819,0.0297
47274,47274,330,5170816,0.1803,13,1,0,0,46560,6,32,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,22.80452,0.09458,1.34093,0.05507
126090,126090,125450,1154048,0.481,2,1,0,0,640,1,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,18.23829,0.05616,1.40538,0.01841
126218,126218,125450,1154048,0.4815,3,1,0,0,640,1,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,24.7217,0.32902,1.62667,0.0117
68938,68938,31370,15416576,0.263,3,1,0,0,37568,2,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,30.14197,0.04285,2.30251,0.00918
69194,69194,31370,15416576,0.264,5,1,0,0,37568,2,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,38.53702,0.22786,2.58074,0.02616
80266,80266,5770,18978048,0.3062,4,1,0,0,74496,3,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,34.50208,0.56508,2.58418,0.03491
80650,80650,5770,18978048,0.3077,7,1,0,0,74496,3,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,43.34253,0.36616,2.86643,0.01567
112074,112074,650,19631360,0.4275,5,1,0,0,111424,4,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,36.05557,0.48733,2.67269,0.04109
112586,112586,650,19631360,0.4295,9,1,0,0,111424,4,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,45.40628,0.29789,2.97519,0.05571
149002,149002,650,19705088,0.5684,6,1,0,0,148352,5,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,36.70254,0.24482,2.70562,0.02483
149642,149642,650,19705088,0.5708,11,1,0,0,148352,5,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,46.50924,0.4473,3.01208,0.03507
185930,185930,650,19778816,0.7093,7,1,0,0,185280,6,64,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,37.84918,0.40054,2.73363,0.01782
186698,186698,650,19778816,0.7122,13,1,0,0,185280,6,64,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,48.18643,0.46105,3.06086,0.01969
252170,252170,250890,2308096,0.962,2,1,0,0,1280,1,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,35.65348,0.1511,3.08533,0.02973
252426,252426,250890,2308096,0.9629,3,1,0,0,1280,1,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,47.7342,0.10437,3.40447,0.03559
211594,211594,62730,59734528,0.8072,3,1,0,0,148864,2,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,80.37604,0.6357,5.84846,0.08553
212106,212106,62730,59734528,0.8091,5,1,0,0,148864,2,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,98.09251,0.96264,6.66767,0.16517
307978,307978,11530,74082816,1.1748,4,1,0,0,296448,3,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,93.85232,0.83516,6.66464,0.1346
308746,308746,11530,74082816,1.1778,7,1,0,0,296448,3,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,113.42473,0.30728,7.19305,0.05867
445322,445322,1290,76716544,1.6988,5,1,0,0,444032,4,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,98.29465,0.49207,6.96441,0.08096
446346,446346,1290,76716544,1.7027,9,1,0,0,444032,4,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,116.47723,1.77371,7.51322,0.08692
592906,592906,1290,77011456,2.2618,6,1,0,0,591616,5,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,101.87111,1.62043,7.02476,0.13571
594186,594186,1290,77011456,2.2666,11,1,0,0,591616,5,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,120.56519,1.9031,7.58307,0.09929
740490,740490,1290,77306368,2.8247,7,1,0,0,739200,6,128,0,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,104.06425,1.21633,7.11638,0.14704
742026,742026,1290,77306368,2.8306,13,1,0,0,739200,6,128,1,1,3,1,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,122.03272,0.90394,7.61023,0.12349
15770,15770,15690,144256,0.0602,2,1,0,0,80,1,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.2766,0.00645,0.12421,0.00025
15786,15786,15690,144256,0.0602,3,1,0,0,80,1,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.89146,0.00174,0.14906,6e-05
4594,4594,3930,346528,0.0175,3,1,0,0,664,2,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.12561,0.00056,0.15116,0.00021
4626,4626,3930,346528,0.0176,5,1,0,0,664,2,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.90678,0.00066,0.17871,0.00014
1978,1978,730,396576,0.0075,4,1,0,0,1248,3,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.58925,0.00064,0.17006,0.00024
2026,2026,730,396576,0.0077,7,1,0,0,1248,3,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.44843,0.00254,0.19999,0.00048
1922,1922,90,405664,0.0073,5,1,0,0,1832,4,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.93519,0.0011,0.1802,0.00023
1986,1986,90,405664,0.0076,9,1,0,0,1832,4,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.9287,0.03959,0.21532,0.00247
2506,2506,90,406816,0.0096,6,1,0,0,2416,5,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.17453,0.001,0.18593,0.0003
2586,2586,90,406816,0.0099,11,1,0,0,2416,5,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,5.16629,0.08964,0.21926,0.00015
3090,3090,90,407968,0.0118,7,1,0,0,3000,6,8,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.43516,0.05108,0.1943,0.00478
3186,3186,90,407968,0.0122,13,1,0,0,3000,6,8,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,5.48309,0.09223,0.23121,0.00447
31530,31530,31370,288512,0.1203,2,1,0,0,160,1,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.78048,0.00267,0.20358,0.00068
31562,31562,31370,288512,0.1204,3,1,0,0,160,1,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.90917,0.0264,0.25115,0.0004
10330,10330,7850,1144640,0.0394,3,1,0,0,2480,2,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,5.60881,0.01653,0.25808,0.0004
10394,10394,7850,1144640,0.0396,5,1,0,0,2480,2,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,7.23931,0.06736,0.33761,0.00634
6250,6250,1450,1357632,0.0238,4,1,0,0,4800,3,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,6.35411,0.01224,0.29211,0.01199
6346,6346,1450,1357632,0.0242,7,1,0,0,4800,3,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,8.08695,0.07811,0.35248,0.00165
7290,7290,170,1396544,0.0278,5,1,0,0,7120,4,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,6.73105,0.01935,0.29281,0.0025
7418,7418,170,1396544,0.0283,9,1,0,0,7120,4,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,8.37936,0.01454,0.36466,0.00216
9610,9610,170,1401152,0.0367,6,1,0,0,9440,5,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,6.98306,0.03185,0.30034,0.00205
9770,9770,170,1401152,0.0373,11,1,0,0,9440,5,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,8.87735,0.11502,0.38106,0.00406
11930,11930,170,1405760,0.0455,7,1,0,0,11760,6,16,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,7.28288,0.03015,0.30707,0.00026
12122,12122,170,1405760,0.0462,13,1,0,0,11760,6,16,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,8.94615,0.01022,0.38594,0.00184
63050,63050,62730,577024,0.2405,2,1,0,0,320,1,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,6.77964,0.00835,0.37066,0.00065
63114,63114,62730,577024,0.2408,3,1,0,0,320,1,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,9.03568,0.01289,0.46545,0.00067
