total_params,trainable_params,linear_params,flops,model_size_mb,num_layers,model_type,hidden_size,num_hidden_layers,conv_params,num_conv_layers,num_filters,has_batchnorm,has_pooling,kernel_size,num_fc_layers,device,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,batch_size,input_channels,input_height,input_width,num_classes,train_time_mean,train_time_std,infer_time_mean,infer_time_std
532490,532490,532490,1061888,2.0313,7,0,256,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,4.38942,0.01743,0.09364,0.00448
598282,598282,598282,1192960,2.2823,8,0,256,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,5.37242,0.10553,0.12417,0.0175
407050,407050,407050,813056,1.5528,2,0,512,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,2.14481,0.08854,0.05383,0.00398
669706,669706,669706,1337344,2.5547,3,0,512,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,3.57484,0.05913,0.07959,0.00481
932362,932362,932362,1861632,3.5567,4,0,512,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,4.81423,0.02594,0.11287,0.00811
1195018,1195018,1195018,2385920,4.5586,5,0,512,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,6.07629,0.02497,0.13711,0.00301
1457674,1457674,1457674,2910208,5.5606,6,0,512,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,7.2538,0.02222,0.17633,0.00337
1720330,1720330,1720330,3434496,6.5625,7,0,512,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.72216,0.04748,0.20675,0.0015
1982986,1982986,1982986,3958784,7.5645,8,0,512,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,10.01007,0.02543,0.23384,0.00505
814090,814090,814090,1626112,3.1055,2,0,1024,1,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,3.60701,0.0148,0.08565,0.00088
1863690,1863690,1863690,3723264,7.1094,3,0,1024,2,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,8.40636,0.0151,0.19523,0.00165
2913290,2913290,2913290,5820416,11.1133,4,0,1024,3,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,13.10073,0.05348,0.30319,0.00536
3962890,3962890,3962890,7917568,15.1172,5,0,1024,4,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,18.18394,0.01009,0.41236,0.00637
5012490,5012490,5012490,10014720,19.1211,6,0,1024,5,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,23.3406,0.09643,0.53628,0.01329
6062090,6062090,6062090,12111872,23.125,7,0,1024,6,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,29.03288,0.11958,0.64703,0.00132
7111690,7111690,7111690,14209024,27.1289,8,0,1024,7,0,0,0,0,0,0,0,cpu,12,2.9,1.5,15.9,0.0,64,1,28,28,10,34.52258,0.11596,0.74425,0.01929
12730,12730,12730,25408,0.0486,2,0,16,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.31019,0.00841,0.02796,0.00021
13002,13002,13002,25920,0.0496,3,0,16,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.66273,0.00272,0.04271,0.00067
13274,13274,13274,26432,0.0506,4,0,16,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.97746,0.03155,0.05748,0.00104
13546,13546,13546,26944,0.0517,5,0,16,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.29397,0.05108,0.07257,0.00067
13818,13818,13818,27456,0.0527,6,0,16,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.60948,0.08161,0.09935,0.0173
14090,14090,14090,27968,0.0537,7,0,16,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.82756,0.03589,0.10681,0.00811
14362,14362,14362,28480,0.0548,8,0,16,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.22311,0.04044,0.11313,0.00111
25450,25450,25450,50816,0.0971,2,0,32,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.31266,0.02658,0.03065,0.00351
26506,26506,26506,52864,0.1011,3,0,32,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.65948,0.016,0.04316,0.00054
27562,27562,27562,54912,0.1051,4,0,32,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.95953,0.01506,0.05801,0.00034
28618,28618,28618,56960,0.1092,5,0,32,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.35932,0.03064,0.07892,0.00984
29674,29674,29674,59008,0.1132,6,0,32,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.65589,0.01337,0.0886,0.00177
30730,30730,30730,61056,0.1172,7,0,32,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.9572,0.02797,0.10035,0.00043
31786,31786,31786,63104,0.1213,8,0,32,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.34616,0.02032,0.1196,0.00305
50890,50890,50890,101632,0.1941,2,0,64,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.34797,0.02158,0.02801,0.00041
55050,55050,55050,109824,0.21,3,0,64,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.66453,0.01411,0.05019,0.00943
59210,59210,59210,118016,0.2259,4,0,64,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.99475,0.03028,0.07389,0.01444
63370,63370,63370,126208,0.2417,5,0,64,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.339,0.01711,0.07261,0.00077
67530,67530,67530,134400,0.2576,6,0,64,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.58006,0.04132,0.08676,0.00094
71690,71690,71690,142592,0.2735,7,0,64,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.89573,0.03086,0.11174,0.01634
75850,75850,75850,150784,0.2893,8,0,64,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.244,0.05969,0.11625,0.00191
101770,101770,101770,203264,0.3882,2,0,128,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.32152,0.01862,0.03199,0.00358
118282,118282,118282,236032,0.4512,3,0,128,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.72246,0.0064,0.0544,0.01305
134794,134794,134794,268800,0.5142,4,0,128,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.0395,0.04941,0.06621,0.00846
151306,151306,151306,301568,0.5772,5,0,128,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.3371,0.06008,0.07695,0.00058
167818,167818,167818,334336,0.6402,6,0,128,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.69853,0.08204,0.10085,0.00818
184330,184330,184330,367104,0.7032,7,0,128,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.99349,0.06292,0.10872,0.00073
200842,200842,200842,399872,0.7662,8,0,128,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.40889,0.09832,0.13114,0.00977
203530,203530,203530,406528,0.7764,2,0,256,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.40689,0.01731,0.03215,0.00645
269322,269322,269322,537600,1.0274,3,0,256,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.64933,0.00101,0.05165,0.00931
335114,335114,335114,668672,1.2784,4,0,256,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.87379,0.0135,0.06206,0.00246
400906,400906,400906,799744,1.5293,5,0,256,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.20189,0.01592,0.09018,0.01052
466698,466698,466698,930816,1.7803,6,0,256,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.49416,0.011,0.10449,0.01577
532490,532490,532490,1061888,2.0313,7,0,256,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,2.85005,0.00179,0.11883,0.00784
598282,598282,598282,1192960,2.2823,8,0,256,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.16197,0.00103,0.12851,0.00535
407050,407050,407050,813056,1.5528,2,0,512,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,1.8892,0.00022,0.03736,3e-05
669706,669706,669706,1337344,2.5547,3,0,512,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.04472,0.00051,0.06094,0.00037
932362,932362,932362,1861632,3.5567,4,0,512,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,4.27773,0.00072,0.08416,7e-05
1195018,1195018,1195018,2385920,4.5586,5,0,512,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,5.44436,0.00089,0.10873,0.0003
1457674,1457674,1457674,2910208,5.5606,6,0,512,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,6.63965,0.00156,0.13236,7e-05
1720330,1720330,1720330,3434496,6.5625,7,0,512,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,7.99769,0.00034,0.15696,0.00032
1982986,1982986,1982986,3958784,7.5645,8,0,512,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,9.08285,0.00169,0.18022,6e-05
814090,814090,814090,1626112,3.1055,2,0,1024,1,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,3.39475,0.00041,0.059,5e-05
1863690,1863690,1863690,3723264,7.1094,3,0,1024,2,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,7.71638,0.00384,0.12109,6e-05
2913290,2913290,2913290,5820416,11.1133,4,0,1024,3,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,12.19798,0.00336,0.18365,0.00026
3962890,3962890,3962890,7917568,15.1172,5,0,1024,4,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,16.7422,0.00978,0.24549,6e-05
5012490,5012490,5012490,10014720,19.1211,6,0,1024,5,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,21.22824,0.02464,0.30828,0.00035
6062090,6062090,6062090,12111872,23.125,7,0,1024,6,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,25.54396,0.00731,0.37055,0.00043
7111690,7111690,7111690,14209024,27.1289,8,0,1024,7,0,0,0,0,0,0,0,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,30.11913,0.00504,0.43282,0.00023
