target,rank,feature,importance,device
추론시간 [CPU] - XGBoost,2,conv_params,0.068526,CPU
추론시간 [CPU] - XGBoost,3,flops,0.024443,CPU
추론시간 [CPU] - XGBoost,4,model_type,0.005414,CPU
추론시간 [CPU] - XGBoost,5,total_params,0.004437,CPU
추론시간 [CPU] - XGBoost,6,linear_params,0.00043,CPU
추론시간 [CPU] - XGBoost,7,num_layers,0.000183,CPU
추론시간 [CPU] - XGBoost,8,has_batchnorm,0.000148,CPU
추론시간 [CPU] - XGBoost,9,num_conv_layers,1e-05,CPU
추론시간 [CPU] - XGBoost,10,hidden_size,5e-06,CPU
추론시간 [CPU] - XGBoost,11,num_hidden_layers,1e-06,CPU
추론시간 [CPU] - XGBoost,12,device,0.0,CPU
추론시간 [CPU] - XGBoost,13,cpu_cores,0.0,CPU
추론시간 [CPU] - XGBoost,14,cpu_freq_ghz,0.0,CPU
추론시간 [CPU] - XGBoost,15,cpu_cache_l2_mb,0.0,CPU
추론시간 [CPU] - XGBoost,16,ram_total_gb,0.0,CPU
추론시간 [CPU] - XGBoost,17,gpu_memory_gb,0.0,CPU
추론시간 [CPU] - XGBoost,18,batch_size,0.0,CPU
추론시간 [CPU] - XGBoost,19,input_channels,0.0,CPU
추론시간 [CPU] - XGBoost,20,input_height,0.0,CPU
추론시간 [CPU] - XGBoost,21,input_width,0.0,CPU
추론시간 [CPU] - XGBoost,22,num_classes,0.0,CPU
추론시간 [CPU] - XGBoost,23,has_pooling,0.0,CPU
추론시간 [CPU] - XGBoost,24,kernel_size,0.0,CPU
추론시간 [CPU] - XGBoost,25,num_fc_layers,0.0,CPU
추론시간 [CPU] - XGBoost,26,model_size_mb,0.0,CPU
추론시간 [CPU] - XGBoost,27,trainable_params,0.0,CPU
학습시간 [CUDA] - RandomForest,1,flops,0.694983,CUDA
학습시간 [CUDA] - RandomForest,2,num_filters,0.198408,CUDA
학습시간 [CUDA] - RandomForest,3,conv_params,0.047546,CUDA
학습시간 [CUDA] - RandomForest,4,num_layers,0.012382,CUDA
학습시간 [CUDA] - RandomForest,5,model_size_mb,0.010549,CUDA
학습시간 [CUDA] - RandomForest,6,total_params,0.007293,CUDA
학습시간 [CUDA] - RandomForest,7,trainable_params,0.007236,CUDA
학습시간 [CUDA] - RandomForest,8,num_hidden_layers,0.006784,CUDA
학습시간 [CUDA] - RandomForest,9,linear_params,0.005398,CUDA
학습시간 [CUDA] - RandomForest,10,has_batchnorm,0.002949,CUDA
학습시간 [CUDA] - RandomForest,11,hidden_size,0.001698,CUDA
학습시간 [CUDA] - RandomForest,12,model_type,0.001418,CUDA
학습시간 [CUDA] - RandomForest,13,has_pooling,0.001177,CUDA
학습시간 [CUDA] - RandomForest,14,num_conv_layers,0.00104,CUDA
학습시간 [CUDA] - RandomForest,15,num_fc_layers,0.000674,CUDA
학습시간 [CUDA] - RandomForest,16,kernel_size,0.000465,CUDA
학습시간 [CUDA] - RandomForest,17,device,0.0,CUDA
학습시간 [CUDA] - RandomForest,18,cpu_freq_ghz,0.0,CUDA
학습시간 [CUDA] - RandomForest,19,cpu_cores,0.0,CUDA
