2026/09/15 18:29:35.102, 2535, 9001, 2, 25.37, P0
2026/09/15 18:29:35.322, 2535, 9001, 2, 25.37, P0
2026/09/15 18:29:35.527, 2535, 9001, 0, 25.50, P0
2026/09/15 18:29:35.746, 2535, 9001, 0, 25.50, P0
2026/09/15 18:29:35.968, 2535, 9001, 0, 25.60, P0
2026/09/15 18:29:36.173, 2535, 9001, 0, 25.60, P0
2026/09/15 18:29:36.379, 2535, 9001, 0, 25.60, P0
2026/09/15 18:29:36.599, 2535, 9001, 0, 25.52, P0
2026/09/15 18:29:36.818, 2535, 9001, 0, 25.52, P0
2026/09/15 18:29:37.023, 2535, 9001, 1, 25.44, P0
2026/09/15 18:29:37.229, 2535, 9001, 1, 25.44, P0
2026/09/15 18:29:37.449, 2535, 9001, 0, 25.38, P0
2026/09/15 18:29:37.654, 2535, 9001, 0, 25.38, P0
2026/09/15 18:29:37.873, 2535, 9001, 0, 25.38, P0
2026/09/15 18:29:38.079, 2535, 9001, 1, 20.88, P5
2026/09/15 18:29:38.285, 2535, 9001, 1, 20.88, P5
2026/09/15 18:29:38.492, 2535, 8751, 3, 17.22, P2
2026/09/15 18:29:38.695, 2535, 8751, 3, 17.22, P2
2026/09/15 18:29:38.901, 2535, 8751, 2, 20.73, P2
2026/09/15 18:29:39.106, 2535, 8751, 2, 20.73, P2
2026/09/15 18:29:39.312, 2535, 8751, 2, 20.73, P2
2026/09/15 18:29:39.518, 2535, 8751, 2, 25.76, P2
2026/09/15 18:29:39.723, 2535, 8751, 2, 25.76, P2
2026/09/15 18:29:39.929, 2535, 8751, 2, 25.67, P2
2026/09/15 18:29:40.134, 2535, 8751, 2, 25.67, P2
2026/09/15 18:29:40.340, 2535, 8751, 2, 25.67, P2
2026/09/15 18:29:40.546, 2535, 8751, 2, 25.59, P2
2026/09/15 18:29:40.752, 2535, 8751, 2, 25.59, P2
2026/09/15 18:29:40.955, 2535, 8751, 2, 25.65, P2
2026/09/15 18:29:41.162, 2535, 8751, 2, 25.65, P2
2026/09/15 18:29:41.367, 2535, 8751, 2, 25.65, P2
2026/09/15 18:29:41.574, 2535, 8751, 2, 25.73, P2
2026/09/15 18:29:41.780, 2535, 8751, 2, 25.73, P2
2026/09/15 18:29:41.984, 2535, 8751, 2, 25.88, P2
2026/09/15 18:29:42.189, 2535, 8751, 2, 25.88, P2
2026/09/15 18:29:42.394, 2535, 8751, 2, 25.88, P2
2026/09/15 18:29:42.598, 2535, 8751, 2, 25.93, P2
2026/09/15 18:29:42.801, 2535, 8751, 2, 25.93, P2
2026/09/15 18:29:43.005, 2535, 8751, 2, 25.86, P2
2026/09/15 18:29:43.211, 2535, 8751, 2, 25.86, P2
2026/09/15 18:29:43.416, 2535, 8751, 1, 25.86, P2
2026/09/15 18:29:43.621, 2535, 8751, 1, 25.86, P2
2026/09/15 18:29:43.827, 2535, 8751, 1, 25.86, P2
2026/09/15 18:29:44.031, 2535, 8751, 1, 25.75, P2
2026/09/15 18:29:44.238, 2535, 8751, 1, 25.75, P2
2026/09/15 18:29:44.442, 2535, 8751, 0, 25.64, P2
2026/09/15 18:29:44.646, 2535, 8751, 0, 25.64, P2
2026/09/15 18:29:44.849, 2535, 8751, 0, 25.64, P2
2026/09/15 18:29:45.054, 540, 810, 6, 21.08, P5
2026/09/15 18:29:45.257, 540, 810, 6, 21.08, P5
2026/09/15 18:29:45.459, 420, 810, 2, 15.07, P5
2026/09/15 18:29:45.663, 420, 810, 2, 15.07, P5
2026/09/15 18:29:45.868, 420, 810, 2, 15.07, P5
2026/09/15 18:29:46.075, 660, 810, 47, 12.80, P5
2026/09/15 18:29:46.281, 660, 810, 47, 12.80, P5
2026/09/15 18:29:46.487, 855, 810, 40, 13.73, P5
2026/09/15 18:29:46.692, 855, 810, 40, 13.73, P5
2026/09/15 18:29:46.897, 855, 810, 40, 13.73, P5
2026/09/15 18:29:47.102, 885, 810, 38, 14.60, P5
2026/09/15 18:29:47.307, 885, 810, 38, 14.60, P5
2026/09/15 18:29:47.511, 915, 810, 38, 14.66, P5
2026/09/15 18:29:47.714, 915, 810, 38, 14.66, P5
2026/09/15 18:29:47.920, 930, 810, 37, 14.64, P5
2026/09/15 18:29:48.126, 930, 810, 37, 14.64, P5
2026/09/15 18:29:48.333, 930, 810, 37, 14.64, P5
2026/09/15 18:29:48.537, 930, 810, 4, 14.32, P5
2026/09/15 18:29:48.741, 930, 810, 4, 14.32, P5
2026/09/15 18:29:48.942, 945, 810, 1, 13.52, P5
2026/09/15 18:29:49.146, 945, 810, 1, 13.52, P5
2026/09/15 18:29:49.348, 945, 810, 1, 13.52, P5
2026/09/15 18:29:49.551, 945, 810, 2, 11.98, P5
2026/09/15 18:29:49.756, 945, 810, 2, 11.98, P5
2026/09/15 18:29:49.961, 945, 810, 32, 11.99, P5
2026/09/15 18:29:50.177, 945, 810, 32, 11.99, P5
2026/09/15 18:29:50.379, 945, 810, 32, 11.99, P5
2026/09/15 18:29:50.582, 795, 810, 38, 13.43, P5
2026/09/15 18:29:50.786, 795, 810, 38, 13.43, P5
2026/09/15 18:29:50.990, 795, 810, 38, 14.63, P5
2026/09/15 18:29:51.194, 795, 810, 38, 14.63, P5
2026/09/15 18:29:51.399, 795, 810, 38, 14.63, P5
2026/09/15 18:29:51.605, 780, 810, 38, 14.61, P5
2026/09/15 18:29:51.811, 780, 810, 38, 14.61, P5
2026/09/15 18:29:52.015, 810, 810, 36, 14.65, P5
2026/09/15 18:29:52.221, 810, 810, 36, 14.65, P5
2026/09/15 18:29:52.426, 810, 810, 38, 14.65, P5
2026/09/15 18:29:52.634, 810, 810, 38, 14.65, P5
2026/09/15 18:29:52.838, 810, 810, 38, 14.65, P5
2026/09/15 18:29:53.043, 810, 810, 36, 14.62, P5
2026/09/15 18:29:53.258, 810, 810, 36, 14.62, P5
2026/09/15 18:29:53.463, 810, 810, 4, 13.89, P5
2026/09/15 18:29:53.664, 810, 810, 4, 13.89, P5
2026/09/15 18:29:53.866, 810, 810, 4, 13.89, P5
2026/09/15 18:29:54.069, 540, 810, 5, 12.86, P5
2026/09/15 18:29:54.275, 540, 810, 5, 12.86, P5
2026/09/15 18:29:54.477, 405, 405, 8, 11.56, P8
2026/09/15 18:29:54.684, 405, 405, 8, 11.56, P8
2026/09/15 18:29:54.889, 405, 405, 8, 11.56, P8
2026/09/15 18:29:55.093, 2535, 8751, 27, 13.57, P2
2026/09/15 18:29:55.298, 2535, 8751, 27, 13.57, P2
2026/09/15 18:29:55.503, 2535, 8751, 19, 22.86, P2
2026/09/15 18:29:55.708, 2535, 8751, 19, 22.86, P2
2026/09/15 18:29:55.911, 2535, 8751, 20, 31.40, P2
2026/09/15 18:29:56.114, 2535, 8751, 20, 31.40, P2
2026/09/15 18:29:56.320, 2535, 8751, 20, 31.40, P2
2026/09/15 18:29:56.525, 2535, 8751, 23, 32.04, P2
2026/09/15 18:29:56.728, 2535, 8751, 23, 32.04, P2
2026/09/15 18:29:56.933, 1485, 5001, 29, 29.51, P3
2026/09/15 18:29:57.138, 1485, 5001, 29, 29.51, P3
2026/09/15 18:29:57.344, 1485, 5001, 29, 29.51, P3
2026/09/15 18:29:57.547, 2115, 8751, 72, 23.51, P2
2026/09/15 18:29:57.753, 2115, 8751, 72, 23.51, P2
2026/09/15 18:29:57.959, 2115, 8751, 22, 22.10, P2
2026/09/15 18:29:58.167, 2115, 8751, 22, 22.10, P2
2026/09/15 18:29:58.372, 2115, 8751, 22, 22.10, P2
2026/09/15 18:29:58.578, 2115, 8751, 23, 25.41, P2
