total_params,log_total_params,trainable_params,model_size_mb,log_model_size_mb,total_layers,num_hidden_layers,num_linear_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_family_encoded,has_pooling,has_batch_norm,cnn_num_fc_layers,cnn_kernel_size,flops,has_residual,has_depthwise,has_attention,has_cls_token,num_blocks,num_mult_adds,activation_memory_mb,first_layer_width,last_layer_width,is_sequential,has_skip_connection,max_channels,min_channels,ann_max_hidden,ann_min_hidden,ann_avg_hidden,cnn_num_filters,cnn_max_channels,cnn_has_residual,cnn_has_depthwise,embed_dim,num_heads,patch_size,ffn_dim,vit_has_cls_token,latent_dim,generator_params,discriminator_params,ann_num_layers,cnn_stem_channels,vit_num_encoder_layers,input_height,input_width,input_channels,num_classes,batch_size,dataset_encoded,input_pixels,seq_length,device_type,os_type,accelerator_brand,accelerator_name,cpu_cores_physical,cpu_cores_logical,cpu_perf_cores,cpu_efficiency_cores,cpu_freq_base_ghz,cpu_freq_boost_ghz,cpu_cache_l2_mb,cpu_cache_l3_mb,ram_total_gb,memory_type,memory_bandwidth_gbs,is_unified_memory,shared_memory_gb,dedicated_vram_gb,gpu_count,gpu_memory_gb,gpu_core_count,peak_bandwidth_gbs,tflops_fp32,tflops_fp16,fp16_support,bf16_support,interconnect_type,host_to_device_bandwidth_gbs,is_discrete_gpu,is_integrated_gpu,device_encoded,cpu_freq_ghz,memory_channels,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
118282,11.680835337188897,118282,0.45121002197265625,0.37239770634486696,2,2,2,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0469923019409179,2.819058895111084,cpu,MNIST
118282,11.680835337188897,118282,0.45121002197265625,0.37239770634486696,2,2,2,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.484466552734375,4.653186082839966,mps,MNIST
269322,12.503666681762482,269322,1.0273818969726562,0.7067452547424438,2,2,2,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.080728530883789,3.081729888916016,cpu,MNIST
269322,12.503666681762482,269322,1.0273818969726562,0.7067452547424438,2,2,2,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.5257129669189453,4.752097845077515,mps,MNIST
669706,13.414595582284907,669706,2.5547256469726562,1.2682778864297954,2,2,2,0,512,6.240275845170769,512.0,512.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,512,512,1,0.0,0,0,512,512,512.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.1511812210083007,3.9430322647094727,cpu,MNIST
669706,13.414595582284907,669706,2.5547256469726562,1.2682778864297954,2,2,2,0,512,6.240275845170769,512.0,512.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,512,512,1,0.0,0,0,512,512,512.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.7058382034301758,6.521830797195435,mps,MNIST
59210,10.988862614422217,59210,0.22586822509765625,0.20364934813011087,3,3,3,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0416755676269531,2.7370047569274902,cpu,MNIST
59210,10.988862614422217,59210,0.22586822509765625,0.20364934813011087,3,3,3,0,64,4.174387269895637,64.0,64.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,64,64,64.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.62408447265625,6.041630029678345,mps,MNIST
134794,11.811510384784288,134794,0.5141983032226562,0.4148861261096723,3,3,3,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0601768493652343,2.8808908462524414,cpu,MNIST
134794,11.811510384784288,134794,0.5141983032226562,0.4148861261096723,3,3,3,0,128,4.859812404361672,128.0,128.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,128,128,128.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.8667230606079102,6.355499982833862,mps,MNIST
