total_params,model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
167690,0.6396865844726562,4.0,3,0.0,256.0,128.0,170.66666666666666,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.0674009323120117,2.9009130001068115,cpu,MNIST
167690,0.6396865844726562,4.0,3,0.0,256.0,128.0,170.66666666666666,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.8152961730957031,5.057845115661621,mps,MNIST
67466,0.25736236572265625,4.0,3,0.0,128.0,64.0,85.33333333333333,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.045323371887207,2.8436107635498047,cpu,MNIST
67466,0.25736236572265625,4.0,3,0.0,128.0,64.0,85.33333333333333,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.635981559753418,6.100062847137451,mps,MNIST
466442,1.7793350219726562,4.0,3,0.0,512.0,256.0,341.3333333333333,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.1272201538085937,3.729381799697876,cpu,MNIST
466442,1.7793350219726562,4.0,3,0.0,512.0,256.0,341.3333333333333,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.6751298904418945,5.580519914627075,mps,MNIST
1059402,4.041297912597656,2.0,0,2.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,6.105184555053711,20.330652236938477,cpu,CIFAR-10
1059402,4.041297912597656,2.0,0,2.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.0458221435546875,11.71966791152954,mps,CIFAR-10
2122378,8.096229553222656,2.0,0,2.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,10.67814826965332,29.95431399345398,cpu,CIFAR-10
2122378,8.096229553222656,2.0,0,2.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.4849891662597656,13.70283269882202,mps,CIFAR-10
4275978,16.311561584472656,2.0,0,2.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,32.91428089141846,68.24345088005066,cpu,CIFAR-10
4275978,16.311561584472656,2.0,0,2.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,5.414605140686035,33.096678018569946,mps,CIFAR-10
553738,2.1123428344726562,3.0,0,3.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,7.67977237701416,22.65881609916687,cpu,CIFAR-10
553738,2.1123428344726562,3.0,0,3.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.354264259338379,11.001394987106323,mps,CIFAR-10
1147914,4.378944396972656,3.0,0,3.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,16.965508460998535,38.64148020744324,cpu,CIFAR-10
1147914,4.378944396972656,3.0,0,3.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,3.4720420837402344,15.71247100830078,mps,CIFAR-10
